iter	Logloss
0	0.6882023034
1	0.683119348
2	0.677209317
3	0.6739794598
4	0.6693923693
5	0.6649776924
6	0.6599887222
7	0.656232667
8	0.6515448508
9	0.6467060492
10	0.6423549693
11	0.6385152034
12	0.6347592012
13	0.6309114006
14	0.6266326007
15	0.6232115512
16	0.6191517161
17	0.6149224015
18	0.6111950854
19	0.6077032699
20	0.6043171052
21	0.6012001664
22	0.5971559144
23	0.5939881399
24	0.5910697398
25	0.5875879741
26	0.584571032
27	0.5809898538
28	0.5776004805
29	0.575788808
30	0.5730240249
31	0.5703727948
32	0.5673856235
33	0.5642059523
34	0.5613398022
35	0.5596517767
36	0.5572876893
37	0.5536875159
38	0.550933452
39	0.5480764865
40	0.5461002248
41	0.5433001518
42	0.5413305454
43	0.5393739625
44	0.5373509722
45	0.5360824296
46	0.5339180831
47	0.5327011368
48	0.530877863
49	0.5290271059
50	0.5262716139
51	0.5241402393
52	0.5218919862
53	0.5201197515
54	0.5182280752
55	0.5157109323
56	0.5136265723
57	0.5120648755
58	0.5103733771
59	0.508918191
60	0.5068379883
61	0.5045500354
62	0.5034341774
63	0.5016003266
64	0.500064547
65	0.4983947014
66	0.4967162967
67	0.4944291005
68	0.4932115653
69	0.4921247669
70	0.490596284
71	0.4894224768
72	0.4877584248
73	0.4864046648
74	0.4848075451
75	0.4832795382
76	0.4818942567
77	0.4802250976
78	0.4788334118
79	0.4776456163
80	0.4765575145
81	0.4754355336
82	0.474279868
83	0.4735773926
84	0.4723448265
85	0.4712927191
86	0.4703230561
87	0.469326931
88	0.4688391665
89	0.4677664092
90	0.4668359742
91	0.4660318657
92	0.4655572386
93	0.4641229394
94	0.463011653
95	0.4619535421
96	0.4609493932
97	0.4600070378
98	0.4590839301
99	0.4581494006
100	0.4578574614
101	0.4567698904
102	0.4559427849
103	0.4551629582
104	0.4538679529
105	0.4523343544
106	0.4512077681
107	0.4499520986
108	0.4495577661
109	0.4487828136
110	0.4478259149
111	0.4465677244
112	0.4453108869
113	0.4445484979
114	0.4435054735
115	0.4431547457
116	0.4416364655
117	0.4409914884
118	0.440110424
119	0.4387869164
120	0.4381914572
121	0.437274099
122	0.4362880253
123	0.4353821304
124	0.4345723278
125	0.4335312315
126	0.4329003732
127	0.4321122895
128	0.4315097342
129	0.4311378131
130	0.4307980668
131	0.4302071752
132	0.4289947124
133	0.4282388891
134	0.4274202119
135	0.42645458
136	0.4254888893
137	0.4249740818
138	0.4240799167
139	0.4234274928
140	0.4231785174
141	0.4225860944
142	0.422065562
143	0.4210418291
144	0.4207918171
145	0.4203327916
146	0.4199645165
147	0.4192337483
148	0.4185154474
149	0.4180004484
150	0.4173990726
151	0.4168238663
152	0.4163703796
153	0.4152083558
154	0.4144503879
155	0.4140948348
156	0.4133648886
157	0.4122864282
158	0.4121735349
159	0.4117717955
160	0.4113025278
161	0.4107796344
162	0.4100814532
163	0.4095201528
164	0.4092238783
165	0.4087853592
166	0.4085340898
167	0.4081980211
168	0.4073991319
169	0.4069049653
170	0.4061746077
171	0.4058244101
172	0.4053576514
173	0.4051812501
174	0.4047407358
175	0.4042495819
176	0.4037485396
177	0.4032484888
178	0.4028396434
179	0.4022821818
180	0.4017513665
181	0.4012649653
182	0.4009330518
183	0.4005379257
184	0.4002287153
185	0.3997785617
186	0.3990971793
187	0.3987543632
188	0.3983685516
189	0.3978428668
190	0.3976451402
191	0.3975532038
192	0.3974812431
193	0.3968539033
194	0.3966575243
195	0.396285573
196	0.3959587409
197	0.3958991878
198	0.3951446387
199	0.3947981333
200	0.3943161108
201	0.394061352
202	0.3936030774
203	0.3932332536
204	0.3927048089
205	0.3925183795
206	0.3923758964
207	0.3917992519
208	0.3917086212
209	0.3914330295
210	0.3911359225
211	0.3907167461
212	0.3904094807
213	0.3903996956
214	0.3901055186
215	0.3897981138
216	0.389366787
217	0.3890679537
218	0.3889864914
219	0.3886455066
220	0.3883002117
221	0.3877893718
222	0.3874085941
223	0.3872924419
224	0.3872854828
225	0.3867137468
226	0.3864151973
227	0.3861559708
228	0.3857971096
229	0.3855746496
230	0.3851815558
231	0.3849445773
232	0.3848479247
233	0.3846012354
234	0.3843572634
235	0.3842234979
236	0.3840267994
237	0.3838522141
238	0.3837618369
239	0.3833040905
240	0.3829572487
241	0.3828648345
242	0.3823757891
243	0.3821613587
244	0.3817717938
245	0.3813096702
246	0.3808728241
247	0.3806077018
248	0.3802145797
249	0.3800928704
250	0.3798894042
251	0.3795936074
252	0.3790916633
253	0.3790557719
254	0.3786880364
255	0.3785312927
256	0.378409217
257	0.3782064984
258	0.3779810597
259	0.3775947474
260	0.3774994405
261	0.3773235457
262	0.3772854381
263	0.3772356721
