iter	Passed	Remaining
0	4	4187
1	9	4774
2	16	5424
3	18	4701
4	23	4746
5	29	4858
6	36	5202
7	43	5352
8	48	5285
9	54	5357
10	61	5513
11	65	5368
12	67	5116
13	73	5153
14	79	5223
15	83	5138
16	89	5164
17	95	5226
18	102	5304
19	109	5341
20	115	5401
21	118	5267
22	124	5308
23	130	5316
24	134	5240
25	139	5243
26	145	5246
27	151	5258
28	157	5287
29	161	5207
30	166	5212
31	173	5246
32	178	5243
33	185	5279
34	191	5281
35	195	5225
36	201	5247
37	208	5271
38	217	5358
39	223	5370
40	228	5338
41	233	5326
42	239	5320
43	243	5290
44	246	5230
45	248	5153
46	254	5164
47	257	5112
48	263	5111
49	269	5129
50	276	5143
51	283	5168
52	288	5163
53	294	5151
54	301	5183
55	308	5199
56	313	5180
57	317	5157
58	323	5157
59	329	5166
60	335	5157
61	341	5167
62	344	5127
63	350	5121
64	355	5116
65	363	5137
66	368	5135
67	373	5125
68	377	5097
69	381	5064
70	386	5055
71	389	5024
72	396	5040
73	403	5051
74	410	5064
75	418	5090
76	425	5094
77	430	5084
78	437	5098
79	444	5109
80	451	5124
81	458	5127
82	464	5133
83	468	5110
84	473	5098
85	479	5092
86	485	5099
87	493	5109
88	495	5072
89	501	5070
90	506	5060
91	512	5059
92	519	5065
93	525	5066
94	533	5080
95	539	5080
96	544	5066
97	551	5071
98	558	5081
99	564	5076
100	569	5068
101	575	5066
102	580	5055
103	585	5044
104	592	5050
105	598	5046
106	604	5046
107	610	5039
108	618	5054
109	624	5056
110	631	5055
111	637	5051
112	643	5051
113	650	5052
114	655	5047
115	661	5038
116	667	5036
117	673	5033
118	678	5022
119	684	5016
120	690	5018
121	696	5014
122	702	5011
123	709	5015
124	715	5011
125	722	5009
126	727	4999
127	733	4999
128	738	4989
129	745	4986
130	750	4978
131	756	4972
132	762	4967
133	766	4956
134	773	4954
135	778	4945
136	784	4938
137	788	4926
138	794	4920
139	800	4919
140	805	4906
141	811	4902
142	816	4893
143	823	4895
144	830	4896
145	835	4884
146	839	4871
147	845	4865
148	850	4854
149	854	4842
150	860	4839
151	867	4837
152	873	4832
153	878	4825
154	884	4819
155	889	4813
156	895	4807
157	902	4809
158	909	4811
159	917	4816
160	925	4823
161	932	4825
162	940	4831
163	948	4834
164	952	4821
165	958	4813
166	965	4816
167	973	4819
168	980	4821
169	987	4821
170	994	4823
171	1000	4815
172	1008	4818
173	1012	4805
174	1016	4789
175	1022	4788
176	1029	4787
177	1036	4785
178	1043	4786
179	1049	4780
180	1055	4776
181	1061	4770
182	1066	4760
183	1073	4759
184	1078	4752
185	1084	4745
186	1090	4739
187	1095	4731
188	1101	4726
189	1107	4722
190	1113	4717
191	1116	4696
192	1120	4686
193	1124	4673
194	1128	4660
195	1135	4657
196	1141	4653
197	1145	4638
198	1151	4636
199	1159	4638
200	1166	4635
201	1171	4627
202	1177	4622
203	1182	4614
204	1190	4616
205	1196	4612
206	1201	4602
207	1207	4598
208	1212	4589
209	1217	4581
210	1223	4575
211	1229	4571
212	1235	4563
213	1238	4550
214	1243	4540
215	1251	4542
216	1257	4536
217	1262	4529
218	1267	4521
219	1275	4520
220	1281	4515
221	1288	4514
222	1293	4508
223	1300	4505
224	1302	4487
225	1308	4481
226	1317	4485
227	1323	4482
228	1330	4479
229	1339	4483
230	1345	4480
231	1354	4483
232	1360	4478
233	1365	4470
234	1370	4460
235	1376	4456
236	1383	4453
237	1390	4451
238	1395	4444
239	1403	4443
240	1409	4439
241	1415	4433
242	1422	4431
243	1429	4428
244	1438	4434
245	1446	4434
246	1454	4434
247	1462	4433
248	1469	4432
249	1475	4425
250	1480	4416
251	1486	4412
252	1493	4409
253	1497	4396
254	1503	4393
255	1511	4393
256	1518	4388
257	1526	4389
258	1532	4384
259	1538	4377
260	1546	4377
261	1554	4378
262	1558	4366
263	1560	4351
264	1566	4345
265	1572	4338
266	1580	4338
267	1588	4337
268	1594	4332
269	1602	4333
270	1609	4328
271	1617	4328
272	1620	4316
273	1626	4309
274	1629	4296
275	1632	4283
276	1637	4274
277	1644	4271
278	1652	4271
279	1662	4273
280	1668	4269
281	1673	4260
282	1679	4256
283	1686	4251
284	1692	4245
285	1696	4235
286	1704	4233
287	1711	4230
288	1719	4229
289	1725	4225
290	1733	4224
291	1741	4222
292	1745	4211
293	1752	4208
294	1758	4202
295	1763	4193
296	1766	4182
297	1772	4175
298	1780	4173
299	1788	4172
300	1795	4170
301	1801	4164
302	1808	4161
303	1816	4158
304	1819	4146
305	1826	4141
306	1833	4139
307	1840	4136
308	1847	4131
309	1854	4128
310	1863	4129
311	1872	4129
312	1881	4129
313	1889	4128
314	1897	4125
315	1904	4121
316	1911	4119
317	1920	4119
318	1927	4114
319	1934	4110
320	1942	4108
321	1949	4105
322	1956	4100
323	1963	4097
324	1971	4095
325	1975	4084
326	1980	4076
327	1986	4070
328	1993	4066
329	2000	4061
330	2008	4059
331	2014	4053
332	2020	4046
333	2025	4039
334	2033	4036
335	2040	4032
336	2046	4027
337	2053	4022
338	2061	4019
339	2069	4017
340	2071	4003
341	2077	3997
342	2085	3993
343	2092	3990
344	2099	3985
345	2105	3979
346	2112	3975
347	2117	3967
348	2121	3957
349	2127	3950
350	2132	3943
351	2139	3938
352	2145	3932
353	2152	3927
354	2158	3922
355	2164	3915
356	2172	3912
357	2178	3907
358	2185	3902
359	2191	3896
360	2198	3890
361	2204	3885
362	2209	3878
363	2215	3871
364	2220	3863
365	2226	3857
366	2229	3845
367	2235	3838
368	2241	3832
369	2248	3828
370	2255	3823
371	2261	3818
372	2266	3810
373	2272	3804
374	2278	3797
375	2285	3792
376	2292	3787
377	2296	3778
378	2301	3770
379	2306	3763
380	2311	3755
381	2315	3745
382	2321	3739
383	2327	3733
384	2334	3729
385	2341	3723
386	2346	3717
387	2351	3709
388	2355	3699
389	2360	3692
390	2365	3684
391	2371	3678
392	2374	3667
393	2380	3661
394	2386	3655
395	2392	3649
396	2398	3643
397	2402	3634
398	2408	3628
399	2411	3617
400	2418	3612
401	2425	3608
402	2433	3604
403	2438	3597
404	2444	3591
405	2451	3586
406	2456	3579
407	2462	3573
408	2471	3571
409	2477	3565
410	2483	3559
411	2491	3555
412	2497	3549
413	2501	3540
414	2506	3532
415	2513	3528
416	2519	3522
417	2525	3516
418	2531	3510
419	2538	3506
420	2543	3498
421	2550	3492
422	2555	3486
423	2562	3481
424	2569	3476
425	2574	3468
426	2580	3462
427	2586	3457
428	2593	3452
429	2599	3445
430	2604	3437
431	2611	3433
432	2615	3424
433	2620	3417
434	2626	3411
435	2630	3402
436	2636	3396
437	2643	3391
438	2648	3385
439	2654	3378
440	2661	3373
441	2667	3368
442	2673	3361
443	2680	3356
444	2687	3351
445	2692	3345
446	2697	3336
447	2702	3329
448	2710	3326
449	2717	3320
450	2722	3314
451	2729	3309
452	2735	3303
453	2741	3297
454	2749	3292
455	2754	3286
456	2760	3280
457	2768	3276
458	2774	3270
459	2782	3266
460	2790	3262
461	2796	3256
